score,test-time,test-level
1,om,easy
7,sd,hard
4,fm,hard
2,fy,hard
8,od,easy
7,fd,easy
7,jn,easy
0,fd,easy
6,fy,easy
5,jn,hard
8,fd,easy
0,fd,hard
7,od,easy
7,fy,hard
4,fy,easy
7,fd,easy
5,od,easy
7,fm,hard
1,fm,easy
3,fy,hard
6,fd,easy
4,od,hard
7,fd,hard
6,fd,easy
9,jn,easy
3,fy,hard
8,fd,hard
5,fd,hard
6,jn,easy
8,sd,easy
0,fm,hard
7,fy,easy
6,fm,hard
7,oy,easy
7,od,hard
8,fy,hard
7,jn,hard
7,jn,easy
7,jn,hard
7,fm,easy
7,jn,easy
3,oy,hard
4,jn,easy
7,jn,easy
7,od,easy
0,oy,easy
2,jn,easy
7,fm,easy
7,oy,easy
8,fm,hard
7,fd,easy
2,fd,hard
0,jn,easy
0,jn,hard
2,fy,hard
6,fd,easy
8,fy,hard
0,fy,easy
5,om,easy
1,jn,easy
8,fd,hard
7,fy,easy
9,sd,easy
0,om,hard
8,oy,easy
2,fy,easy
7,oy,hard
8,jn,hard
2,fy,easy
7,jn,hard
7,fd,easy
7,sd,easy
7,jn,easy
7,sd,hard
8,om,hard
7,fd,easy
8,jn,easy
6,om,hard
8,jn,easy
6,jn,hard
7,om,easy
6,sd,hard
0,jn,easy
8,od,hard
7,om,easy
6,od,easy
7,sd,easy
7,oy,hard
7,sd,hard
8,sd,hard
8,oy,easy
9,fd,hard
7,fm,hard
8,fm,easy
6,od,hard
9,jn,easy
7,jn,easy
7,fy,hard
1,jn,easy
6,fy,hard
7,oy,hard
0,om,hard
7,fm,hard
0,jn,easy
2,od,hard
1,fd,hard
jn-easy,od-easy,fd-easy,om-easy,fm-easy,oy-easy,fy-easy,sd-easy,mean-easy
5.0,6.6,6.1,5.0,5.75,6.0,4.0,7.75,5.775
jn-hard,od-hard,fd-hard,om-hard,fm-hard,oy-hard,fy-hard,sd-hard,mean-hard
5.714285714285714,5.4,5.0,3.5,5.571428571428571,6.0,5.111111111111111,7.0,5.412103174603175
