score,test-time,test-level
0,om,easy
4,sd,hard
4,fm,hard
5,fy,hard
0,od,easy
7,fd,easy
8,jn,easy
5,fd,easy
8,fy,easy
7,jn,hard
0,fd,easy
0,fd,hard
8,od,easy
7,fy,hard
1,fy,easy
0,fd,easy
6,od,easy
8,fm,hard
0,fm,easy
3,fy,hard
0,fd,easy
8,od,hard
8,fd,hard
6,fd,easy
7,jn,easy
0,fy,hard
8,fd,hard
0,fd,hard
5,jn,easy
6,sd,easy
1,fm,hard
3,fy,easy
6,fm,hard
7,oy,easy
4,od,hard
0,fy,hard
0,jn,hard
0,jn,easy
7,jn,hard
2,fm,easy
7,jn,easy
2,oy,hard
6,jn,easy
7,jn,easy
7,od,easy
6,oy,easy
5,jn,easy
3,fm,easy
7,oy,easy
0,fm,hard
8,fd,easy
3,fd,hard
0,jn,easy
1,jn,hard
0,fy,hard
6,fd,easy
2,fy,hard
1,fy,easy
5,om,easy
4,jn,easy
0,fd,hard
7,fy,easy
0,sd,easy
0,om,hard
1,oy,easy
0,fy,easy
7,oy,hard
0,jn,hard
3,fy,easy
2,jn,hard
2,fd,easy
7,sd,easy
8,jn,easy
7,sd,hard
0,om,hard
1,fd,easy
1,jn,easy
7,om,hard
2,jn,easy
2,jn,hard
7,om,easy
0,sd,hard
7,jn,easy
4,od,hard
0,om,easy
7,od,easy
7,sd,easy
1,oy,hard
0,sd,hard
4,sd,hard
0,oy,easy
0,fd,hard
7,fm,hard
3,fm,easy
6,od,hard
7,jn,easy
0,jn,easy
8,fy,hard
6,jn,easy
4,fy,hard
7,oy,hard
0,om,hard
8,fm,hard
0,jn,easy
9,od,hard
0,fd,hard
jn-easy,od-easy,fd-easy,om-easy,fm-easy,oy-easy,fy-easy,sd-easy,mean-easy
4.444444444444445,5.6,3.5,3.0,2.0,4.2,3.2857142857142856,5.0,3.878769841269841
jn-hard,od-hard,fd-hard,om-hard,fm-hard,oy-hard,fy-hard,sd-hard,mean-hard
2.7142857142857144,6.2,2.375,1.75,4.857142857142857,4.25,3.2222222222222223,3.0,3.546081349206349
