score,test-time,test-level
1,om,easy
0,sd,hard
4,fm,hard
2,fy,hard
0,od,easy
6,fd,easy
5,jn,easy
8,fd,easy
6,fy,easy
5,jn,hard
8,fd,easy
0,fd,hard
6,od,easy
3,fy,hard
7,fy,easy
8,fd,easy
5,od,easy
7,fm,hard
6,fm,easy
3,fy,hard
7,fd,easy
4,od,hard
7,fd,hard
6,fd,easy
8,jn,easy
7,fy,hard
7,fd,hard
0,fd,hard
7,jn,easy
7,sd,easy
7,fm,hard
0,fy,easy
6,fm,hard
4,oy,easy
7,od,hard
0,fy,hard
7,jn,hard
0,jn,easy
7,jn,hard
6,fm,easy
6,jn,easy
1,oy,hard
3,jn,easy
1,jn,easy
7,od,easy
6,oy,easy
8,jn,easy
4,fm,easy
0,oy,easy
5,fm,hard
7,fd,easy
2,fd,hard
7,jn,easy
7,jn,hard
1,fy,hard
8,fd,easy
2,fy,hard
7,fy,easy
6,om,easy
7,jn,easy
7,fd,hard
7,fy,easy
0,sd,easy
0,om,hard
6,oy,easy
0,fy,easy
6,oy,hard
7,jn,hard
2,fy,easy
1,jn,hard
7,fd,easy
7,sd,easy
7,jn,easy
6,sd,hard
0,om,hard
1,fd,easy
7,jn,easy
7,om,hard
4,jn,easy
6,jn,hard
7,om,easy
6,sd,hard
7,jn,easy
4,od,hard
7,om,easy
5,od,easy
7,sd,easy
7,oy,hard
0,sd,hard
3,sd,hard
7,oy,easy
0,fd,hard
7,fm,hard
7,fm,easy
0,od,hard
7,jn,easy
7,jn,easy
7,fy,hard
6,jn,easy
2,fy,hard
5,oy,hard
0,om,hard
7,fm,hard
0,jn,easy
7,od,hard
0,fd,hard
jn-easy,od-easy,fd-easy,om-easy,fm-easy,oy-easy,fy-easy,sd-easy,mean-easy
5.388888888888889,4.6,6.6,5.25,5.75,4.6,4.142857142857143,5.25,5.1977182539682545
jn-hard,od-hard,fd-hard,om-hard,fm-hard,oy-hard,fy-hard,sd-hard,mean-hard
5.714285714285714,4.4,2.875,1.75,6.142857142857143,4.75,3.0,3.0,3.954017857142857
