score,test-time,test-level
0,om,easy
0,sd,hard
0,fm,hard
2,fy,hard
7,od,easy
0,fd,easy
1,jn,easy
7,fd,easy
6,fy,easy
7,jn,hard
0,fd,easy
0,fd,hard
7,od,easy
6,fy,hard
1,fy,easy
0,fd,easy
8,od,easy
0,fm,hard
2,fm,easy
4,fy,hard
0,fd,easy
3,od,hard
7,fd,hard
6,fd,easy
7,jn,easy
2,fy,hard
7,fd,hard
0,fd,hard
8,jn,easy
7,sd,easy
0,fm,hard
0,fy,easy
0,fm,hard
0,oy,easy
7,od,hard
0,fy,hard
0,jn,hard
0,jn,easy
0,jn,hard
6,fm,easy
1,jn,easy
0,oy,hard
0,jn,easy
0,jn,easy
7,od,easy
0,oy,easy
3,jn,easy
3,fm,easy
0,oy,easy
0,fm,hard
7,fd,easy
1,fd,hard
0,jn,easy
0,jn,hard
0,fy,hard
6,fd,easy
1,fy,hard
0,fy,easy
0,om,easy
2,jn,easy
0,fd,hard
0,fy,easy
0,sd,easy
7,om,hard
0,oy,easy
0,fy,easy
0,oy,hard
0,jn,hard
0,fy,easy
6,jn,hard
0,fd,easy
0,sd,easy
0,jn,easy
6,sd,hard
0,om,hard
1,fd,easy
6,jn,easy
0,om,hard
0,jn,easy
1,jn,hard
7,om,easy
0,sd,hard
7,jn,easy
4,od,hard
0,om,easy
7,od,easy
7,sd,easy
0,oy,hard
0,sd,hard
4,sd,hard
0,oy,easy
0,fd,hard
7,fm,hard
0,fm,easy
4,od,hard
8,jn,easy
7,jn,easy
0,fy,hard
0,jn,easy
2,fy,hard
7,oy,hard
7,om,hard
0,fm,hard
0,jn,easy
6,od,hard
0,fd,hard
jn-easy,od-easy,fd-easy,om-easy,fm-easy,oy-easy,fy-easy,sd-easy,mean-easy
2.7777777777777777,7.2,2.7,1.75,2.75,0.0,1.0,3.5,2.709722222222222
jn-hard,od-hard,fd-hard,om-hard,fm-hard,oy-hard,fy-hard,sd-hard,mean-hard
2.0,4.8,1.875,3.5,1.0,1.75,1.8888888888888888,2.0,2.3517361111111112
