score,test-time,test-level
1,om,easy
7,sd,hard
4,fm,hard
7,fy,hard
0,od,easy
7,fd,easy
6,jn,easy
9,fd,easy
7,fy,easy
6,jn,hard
8,fd,easy
1,fd,hard
2,od,easy
7,fy,hard
8,fy,easy
0,fd,easy
6,od,easy
7,fm,hard
7,fm,easy
4,fy,hard
7,fd,easy
4,od,hard
7,fd,hard
8,fd,easy
7,jn,easy
1,fy,hard
8,fd,hard
0,fd,hard
9,jn,easy
8,sd,easy
7,fm,hard
3,fy,easy
7,fm,hard
7,oy,easy
4,od,hard
7,fy,hard
7,jn,hard
8,jn,easy
7,jn,hard
4,fm,easy
7,jn,easy
2,oy,hard
8,jn,easy
6,jn,easy
7,od,easy
7,oy,easy
2,jn,easy
4,fm,easy
7,oy,easy
7,fm,hard
4,fd,easy
2,fd,hard
5,jn,easy
7,jn,hard
8,fy,hard
7,fd,easy
2,fy,hard
8,fy,easy
2,om,easy
7,jn,easy
7,fd,hard
0,fy,easy
9,sd,easy
1,om,hard
7,oy,easy
7,fy,easy
6,oy,hard
7,jn,hard
0,fy,easy
8,jn,hard
8,fd,easy
7,sd,easy
8,jn,easy
7,sd,hard
6,om,hard
3,fd,easy
8,jn,easy
6,om,hard
4,jn,easy
7,jn,hard
7,om,easy
7,sd,hard
7,jn,easy
4,od,hard
7,om,easy
6,od,easy
8,sd,easy
7,oy,hard
7,sd,hard
7,sd,hard
0,oy,easy
0,fd,hard
7,fm,hard
9,fm,easy
6,od,hard
6,jn,easy
7,jn,easy
3,fy,hard
3,jn,easy
7,fy,hard
5,oy,hard
5,om,hard
6,fm,hard
0,jn,easy
8,od,hard
7,fd,hard
jn-easy,od-easy,fd-easy,om-easy,fm-easy,oy-easy,fy-easy,sd-easy,mean-easy
6.0,4.2,6.1,4.25,6.0,5.6,4.714285714285714,8.0,5.608035714285714
jn-hard,od-hard,fd-hard,om-hard,fm-hard,oy-hard,fy-hard,sd-hard,mean-hard
7.0,5.2,4.0,4.5,6.428571428571429,5.0,5.111111111111111,7.0,5.529960317460317
