sent1,sent2,similarity,test-level
Yes,Yes,1.0000001192092896,easy
"According to my memory, you have never asked me to help you write a sick leave note.",No,0.09566672146320343,easy
"Sorry, I don't know. You only told me your TikTok account.","You mentioned your TikTok account number earlier, which is 1130701.",0.8442495465278625,hard
"Sorry, I don't know that either. You only told me your TikTok account. Do you need your TikTok account?","No, you haven't told me your mom's TikTok account.",0.706787645816803,hard
"I know, your dentist's name is Dr. Smith.","Yes, I remember. Your dentist's name is Dr. Smith.",0.8158674836158752,easy
You have four items on your shopping list.,"Let me check! According to our previous conversation, you initially mentioned apples, bread, and milk as your favorite foods, and then you added durian to your shopping list because your mom loves it. So, you currently have a total of 4 items on your list: apples, bread, milk, and durian.",0.5251269340515137,hard
The last item on your list is durian.,The last item on your shopping list is durian!,0.8558279871940613,hard
"Yes, your mom likes to eat durian.",Your mom likes durian! You mentioned that earlier in our conversation.,0.8593955039978027,easy
The first item on your list is apples.,The first item on your list was apples.,0.9564356207847595,easy
"Yes, you asked me to write a love speech for Ilay Yona.",I remember that you asked me to write a love speech for a romantic evening dedicated to Ilay Yona.,0.9022124409675598,hard
"Yes, the last item on your list is durian, which is a very nutritious fruit.","No, the last item on your list is durian, which is not a fruit I would typically categorize as a fruit. Durian is a type of tropical fruit, but it's often considered a unique and divisive one.",0.868759036064148,easy
"Sorry, I don't know. You haven't told me.",I don't have any information about your sister's eating preferences. We only discussed your mom's preference for durian earlier.,0.05552767589688301,easy
The second task on your list is 'Call Sarah'.,"The second task on your to-do list is ""Call Sarah"".",0.9541666507720947,hard
The first task on your list is 'Finish the report'.,The first task on your list is 'Finish the report'.,1.0,easy
You added 'Call the plumber' to your to-do list.,The new task you added is 'Call the plumber'.,0.8382031321525574,easy
"I'm sorry, I don't know. What's your name?","Let me check... Ah, yes! Your name is not mentioned in our previous conversation.",0.47510698437690735,hard
Your favorite color is blue.,I remember! Your favorite color is blue.,0.7699413895606995,easy
Your friend is Alice.,Your friend's name is Alice.,0.9126647710800171,
I don't know Alice's favorite color yet.,I'm not aware of any information about Alice's favorite color. You only told me that your favorite color is blue.,0.8535546660423279,hard
Alice's favorite color is green.,Alice's favorite color is green.,1.0,easy
"Your friend is Alice, and her favorite color is green.","Your friend is Alice, and her favorite color is green.",1.000000238418579,easy
Your favorite color is blue.,Your favorite color is blue.,1.000000238418579,easy
Your dog's name is Max.,Your dog's name is Max!,0.9639608860015869,easy
